data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,lat,long,totale_casi,note,codice_nuts_1,codice_nuts_2,codice_nuts_3
2020-02-24T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,0,,,,
2020-02-25T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,0,,,,
2020-02-26T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,0,,,,
2020-02-27T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,0,,,,
2020-02-28T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,0,,,,
2020-02-29T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,0,,,,
2020-03-01T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,6,,,,
2020-03-02T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,9,,,,
2020-03-03T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,2,,,,
2020-03-04T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,5,,,,
2020-03-05T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,5,,,,
2020-03-06T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,7,,,,
2020-03-07T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,11,,,,
2020-03-08T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,25,,,,
2020-03-09T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,25,,,,
2020-03-10T18:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,53,,,,
2020-03-11T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,57,,,,
2020-03-12T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,57,,,,
2020-03-13T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,131,,,,
2020-03-14T17:00:00,ITA,06,Friuli_Venezia_Giulia,032,Trieste,TS,45.6494354,13.76813649,148,,,,
